INFO 2025-11-05 17:29:56,348 autoreload Watching for file changes with StatReloader
DEBUG 2025-11-05 17:29:56,348 autoreload Waiting for apps ready_event.
DEBUG 2025-11-05 17:29:56,392 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-11-05 17:29:56,408 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\training_app\templates with glob **/*.
DEBUG 2025-11-05 17:29:56,408 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-11-05 17:29:56,409 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\locale with glob **/*.mo.
DEBUG 2025-11-05 17:29:56,409 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-11-05 17:29:56,410 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-11-05 17:29:56,410 autoreload Watching dir C:\Users\user\PycharmProjects\DjangoProject\training_app\locale with glob **/*.mo.
DEBUG 2025-11-05 17:29:56,440 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-11-05 17:29:56,442 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-11-05 17:29:56,594 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1761764777.7864244
DEBUG 2025-11-05 17:29:56,594 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1761764782.4066267
DEBUG 2025-11-05 17:29:56,595 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1761764782.3787005
DEBUG 2025-11-05 17:29:56,595 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\base64mime.py first seen with mtime 1723578007.725366
DEBUG 2025-11-05 17:29:56,595 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1761764782.1273706
DEBUG 2025-11-05 17:29:56,595 autoreload File C:\Users\user\PycharmProjects\DjangoProject\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1761764782.362243
